Liste,Section,Genre,Nom,Position,Tete de liste
RENAISSANCE MARTINIQUE,Fort-de-France,m,Guillaume REYNAL DE SAINT-MICHEL,7,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Nicole MATAR,8,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Louis BRUNO,9,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Chantal JEAN-MARIE,10,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Vital MONSORO,11,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Francette PAULA,12,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Jérémie JOX,13,0
RENAISSANCE MARTINIQUE,Fort-de-France,f,Isabelle ZALI,14,0
RENAISSANCE MARTINIQUE,Fort-de-France,m,Paulin KICHENASSAMY,15,0
RENAISSANCE MARTINIQUE,Nord,m,Elie CARONIQUE,1,0
RENAISSANCE MARTINIQUE,Nord,f,Eline GAMESS,2,0
RENAISSANCE MARTINIQUE,Nord,m,Raoul MARAN,3,0
RENAISSANCE MARTINIQUE,Nord,f,Régine ROBINEL,4,0
RENAISSANCE MARTINIQUE,Nord,m,Bruno PILLOME,5,0
RENAISSANCE MARTINIQUE,Nord,f,Françoise PARACLET,6,0
RENAISSANCE MARTINIQUE,Nord,m,Christophe ZALI,7,0
RENAISSANCE MARTINIQUE,Nord,f,Joséphine JANVION,8,0
RENAISSANCE MARTINIQUE,Nord,m,Charles BATAILLE,9,0
RENAISSANCE MARTINIQUE,Nord,f,Agnès LAUTONE,10,0
RENAISSANCE MARTINIQUE,Nord,m,Victor GATEAU,11,0
RENAISSANCE MARTINIQUE,Nord,f,Giovanna ROCHAMBEAU,12,0
RENAISSANCE MARTINIQUE,Nord,m,Yannis BRIDE,13,0
RENAISSANCE MARTINIQUE,Nord,f,Christine SAMATHAY,14,0
RENAISSANCE MARTINIQUE,Nord,m,Ayrton LESEL,15,0
RENAISSANCE MARTINIQUE,Nord,f,Carine Angèle PAPIN-LEPINE,16,0
RENAISSANCE MARTINIQUE,Sud,m,Maurice LAOUCHEZ,1,0
RENAISSANCE MARTINIQUE,Sud,f,Suzanne LATIF,2,0
RENAISSANCE MARTINIQUE,Sud,m,Josselin ARDON,3,0
RENAISSANCE MARTINIQUE,Sud,f,Christelle RENE-CORAIL,4,0
RENAISSANCE MARTINIQUE,Sud,m,Fred CHALONS,5,0
RENAISSANCE MARTINIQUE,Sud,f,Lise VALGAIRE,6,0
RENAISSANCE MARTINIQUE,Sud,m,Boris VIGILANT,7,0
RENAISSANCE MARTINIQUE,Sud,f,Sandra RAMSAHAÏ,8,0
RENAISSANCE MARTINIQUE,Sud,m,Eric AVRIL,9,0
RENAISSANCE MARTINIQUE,Sud,f,Yasmine SAINT-CYR,10,0
RENAISSANCE MARTINIQUE,Sud,m,Kéran RUDIER,11,0
RENAISSANCE MARTINIQUE,Sud,f,Gwenola COMA,12,0
RENAISSANCE MARTINIQUE,Sud,m,Daniel WURM,13,0
RENAISSANCE MARTINIQUE,Sud,f,Marie-Line Louise ARDES,14,0
RENAISSANCE MARTINIQUE,Sud,m,Jacques-Michel CLEORON,15,0
RENAISSANCE MARTINIQUE,Sud,f,Audrey TISSEUR,16,0
NOU KA FE YONN,Centre,f,Béatrice BELLAY,1,1
NOU KA FE YONN,Centre,m,Frédéric BERET,2,0
NOU KA FE YONN,Centre,f,Maguy BELONY,3,0
NOU KA FE YONN,Centre,m,José Léonce CRISPIN,4,0
NOU KA FE YONN,Centre,f,Dominique DEROND,5,0
NOU KA FE YONN,Centre,m,Denis Eric SURIAM,6,0
NOU KA FE YONN,Centre,f,Aurélie THOMERT,7,0
NOU KA FE YONN,Centre,m,Thierry LEBRUN,8,0
NOU KA FE YONN,Centre,f,Lucrécia ROSAMOND,9,0
NOU KA FE YONN,Centre,m,Jean-Philippe MOUTOUSSAMY,10,0
NOU KA FE YONN,Centre,f,Séverine Pascale BASSES,11,0
NOU KA FE YONN,Centre,m,Frédéric François BOMPART,12,0
NOU KA FE YONN,Centre,f,Manuela GHUNAIM,13,0
NOU KA FE YONN,Centre,m,Marc Erick VASSARD,14,0
NOU KA FE YONN,Centre,f,Angélique Nadège DESTON,15,0
NOU KA FE YONN,Centre,m,Grégory GEVAR,16,0
NOU KA FE YONN,Centre,f,Micheline VALERY,17,0
NOU KA FE YONN,Fort-de-France,m,Daniel ROBIN,1,0
NOU KA FE YONN,Fort-de-France,f,Rosette Germaine JEAN-LOUIS,2,0
NOU KA FE YONN,Fort-de-France,m,Christophe VIOLAIN,3,0
NOU KA FE YONN,Fort-de-France,f,Camélia FIMBOU,4,0
NOU KA FE YONN,Fort-de-France,m,Ralph Christian PEMBELE,5,0
NOU KA FE YONN,Fort-de-France,f,Sabine LAURENDON,6,0
NOU KA FE YONN,Fort-de-France,m,Ronald VOTIER,7,0
NOU KA FE YONN,Fort-de-France,f,Corinne COLMAN,8,0
NOU KA FE YONN,Fort-de-France,m,Wilfrid NEROR,9,0
NOU KA FE YONN,Fort-de-France,f,Livia ABATUCI,10,0
NOU KA FE YONN,Fort-de-France,m,Kenny MANUEL,11,0
NOU KA FE YONN,Fort-de-France,f,Dina DIEUZEDE-COPHIRE,12,0
NOU KA FE YONN,Fort-de-France,m,Jude MARIE-MAGDELAINE,13,0
NOU KA FE YONN,Fort-de-France,f,Dorothée Chantal ALHIM,14,0
NOU KA FE YONN,Fort-de-France,m,Paul CONSTANTIN,15,0
NOU KA FE YONN,Nord,f,Nadia CHONVILLE,1,0
NOU KA FE YONN,Nord,m,Joël Marie GRIFFIT,2,0
NOU KA FE YONN,Nord,f,Géraldine DELYON,3,0
NOU KA FE YONN,Nord,m,Hugues MAVOUNGO-NERET,4,0
NOU KA FE YONN,Nord,f,Annick Danielle DESROSES,5,0
NOU KA FE YONN,Nord,m,René Clément CEMERY,6,0
NOU KA FE YONN,Nord,f,Danièle LAMBERT,7,0
NOU KA FE YONN,Nord,m,Patrice DINTIMILLE,8,0
NOU KA FE YONN,Nord,f,Aurélia LOUIS-STANISLAS,9,0
NOU KA FE YONN,Nord,m,Pascal Yves NAIGRE,10,0
NOU KA FE YONN,Nord,f,Luddy Josèphe MARIE-ELEONCY,11,0
NOU KA FE YONN,Nord,m,Michel Luc HIEU,12,0
NOU KA FE YONN,Nord,f,Marie Chantal EMONIDES,13,0
NOU KA FE YONN,Nord,m,Henri André BIRON,14,0
NOU KA FE YONN,Nord,f,Marie-Ange Julienne ZAMY,15,0
NOU KA FE YONN,Nord,m,José GASPALDY,16,0
NOU KA FE YONN,Sud,m,Lucien LOURI,1,0
NOU KA FE YONN,Sud,f,Marie-Jeannisse GOLVET,2,0
NOU KA FE YONN,Sud,m,Christian DACHIR,3,0
NOU KA FE YONN,Sud,f,Marietta LABONNE,4,0
NOU KA FE YONN,Sud,m,Patrick Tiburce BELLAY,5,0
NOU KA FE YONN,Sud,f,Bertina Hyppolite BABO,6,0
NOU KA FE YONN,Sud,m,Jean-Michel CABIT,7,0
NOU KA FE YONN,Sud,f,Sandrine Inès BIZET,8,0
NOU KA FE YONN,Sud,m,Anicet ZADICK,9,0
NOU KA FE YONN,Sud,f,Sylvie LECHEVALIER,10,0
NOU KA FE YONN,Sud,m,Julien André LAMON,11,0
NOU KA FE YONN,Sud,f,Carine HILDERAL,12,0
NOU KA FE YONN,Sud,m,Jean-Daniel GINOT,13,0
NOU KA FE YONN,Sud,f,Marie-Ange DUVAL,14,0
NOU KA FE YONN,Sud,m,Nathaniel Brayane CIDOLIT,15,0
NOU KA FE YONN,Sud,f,Marie Céline MUDARD,16,0
MATINIK DOUBOUT !,Centre,m,Pierre LONDY,1,0
MATINIK DOUBOUT !,Centre,f,Gladys MORMIN,2,0
MATINIK DOUBOUT !,Centre,m,Henri NELIEN,3,0
MATINIK DOUBOUT !,Centre,f,Arienne BELLEGARDE,4,0
MATINIK DOUBOUT !,Centre,m,Gaby YANG-TING,5,0
MATINIK DOUBOUT !,Centre,f,Myriam RAVIER,6,0
